age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,promotion_usage,satisfaction_score,Cluster
27,0,31926,2,1,1,1,11083,3,1,5,1
35,1,8133,3,0,0,0,2939,3,0,5,0
29,0,12930,2,2,1,2,4059,3,0,3,0
25,1,13114,0,3,1,0,2916,2,0,5,0
31,1,29452,1,3,0,0,9814,6,0,5,1
29,1,32324,0,1,0,1,9535,4,1,4,1
30,1,24706,2,0,0,0,9536,6,1,3,0
32,0,5778,0,0,0,0,2236,5,1,5,0
28,1,12977,2,2,0,0,3542,3,0,5,0
33,1,43758,2,2,1,1,18843,2,0,5,1
29,1,49741,3,3,0,1,12915,2,0,5,1
31,0,6994,0,0,2,0,2101,2,0,7,0
35,1,14104,2,1,1,0,5398,3,1,5,0
32,0,32621,1,3,1,1,9408,5,1,4,1
29,1,40520,1,3,1,0,13186,2,0,3,1
35,0,40735,2,2,0,2,11223,3,0,3,1
34,1,19281,1,1,0,0,6960,4,0,7,0
32,0,40219,1,0,0,0,11462,2,0,6,1
31,1,18963,1,2,1,0,6759,3,1,6,0
27,1,25836,1,0,2,0,9433,3,0,6,0
36,1,6161,0,3,0,1,2115,3,0,6,0
27,1,9697,3,3,1,2,2441,3,0,6,0
40,0,35606,0,2,2,0,10354,4,0,6,1
37,0,6856,0,2,1,1,2387,2,0,6,0
29,0,5135,0,0,0,0,1676,2,0,4,0
25,0,6158,1,2,0,0,1728,2,0,6,0
27,0,29170,1,1,1,1,10705,1,0,7,1
31,0,34887,1,0,1,1,15266,2,0,4,1
29,1,14391,0,3,0,0,5272,2,0,6,0
28,0,5048,1,0,0,0,1568,3,1,4,0
26,0,27404,0,1,0,1,10044,5,1,5,1
30,0,6752,1,2,0,1,1984,5,0,4,0
26,1,7829,0,0,0,1,3001,1,0,5,0
23,0,38461,2,1,0,0,11216,4,0,3,1
28,0,27443,1,0,1,1,9438,1,1,6,0
34,0,46718,1,1,0,0,15534,1,0,5,1
27,0,47622,0,0,0,2,18507,5,0,4,1
33,0,21874,0,0,1,0,8568,1,0,5,0
23,0,30137,2,1,1,0,9744,1,0,5,1
30,1,14535,2,0,0,0,4762,3,0,5,0
32,1,9883,2,3,0,1,4289,1,0,6,0
31,1,49578,0,3,1,0,19903,3,1,5,1
30,1,25071,3,3,0,1,9083,3,1,5,0
27,1,22192,0,2,1,2,10879,3,1,5,0
26,0,13379,0,1,0,0,4327,1,0,4,0
25,1,18915,0,2,1,0,8860,1,0,6,0
31,1,29125,1,2,0,2,10755,5,0,5,1
26,0,21349,1,1,1,2,6518,2,1,5,0
28,1,36299,2,0,1,2,10395,5,0,5,1
29,1,6872,1,1,0,1,1888,1,1,4,0
38,1,46609,0,0,0,2,20447,3,0,5,1
27,1,25134,2,1,0,1,7882,2,0,4,0
31,0,43862,1,0,0,0,17394,2,0,7,1
30,0,31711,0,1,1,2,13669,6,0,6,1
26,1,13509,3,1,0,0,3227,2,1,4,0
30,0,28429,1,1,0,1,9690,1,0,7,1
36,0,17591,2,3,1,0,7785,3,0,6,0
32,1,37908,0,3,0,0,11395,5,1,5,1
30,1,31044,1,1,1,0,10343,4,0,5,1
28,0,38758,1,2,1,0,13781,3,1,4,1
21,0,38467,1,0,0,2,11408,3,1,4,1
35,0,22988,0,0,0,1,9936,1,0,6,0
23,0,26627,0,0,0,2,9547,1,0,4,0
33,1,31265,1,0,0,0,10766,0,0,4,1
39,1,47194,2,1,0,0,17373,0,1,6,1
24,1,42676,1,3,0,1,15874,2,0,6,1
33,0,17214,1,0,2,1,6098,3,0,5,0
29,1,42627,1,2,0,0,13441,2,0,6,1
23,0,44764,1,1,1,0,18931,1,1,4,1
23,1,33907,2,3,2,2,13086,5,1,5,1
23,1,32419,1,2,0,0,11515,3,0,4,1
28,0,39265,1,2,0,0,13114,4,0,4,1
23,0,48577,2,1,0,1,19674,4,0,7,1
33,1,32069,1,3,0,1,12844,3,0,5,1
39,1,16736,3,0,0,2,6937,3,0,5,0
24,0,8854,0,0,1,2,3085,3,0,4,0
34,1,26603,1,3,1,2,10573,2,0,5,0
33,0,26110,3,1,0,1,9307,2,0,6,0
31,0,11871,2,1,2,2,3330,5,0,5,0
25,0,41283,0,0,0,2,14639,3,0,4,1
29,0,31916,0,2,0,0,10921,3,1,6,1
29,0,10545,1,1,0,0,3966,3,0,4,0
33,0,34940,1,0,0,0,11283,2,1,7,1
28,0,43623,2,0,0,0,16513,6,0,5,1
34,1,28363,2,1,0,1,12462,6,0,7,1
28,1,9764,2,1,2,0,4345,3,1,5,0
35,1,42574,1,0,0,2,11767,5,0,3,1
25,0,26516,2,3,2,0,7435,1,1,2,0
24,1,19371,1,2,1,1,6986,5,0,4,0
44,1,46160,0,0,0,1,18143,1,0,4,1
28,1,9172,1,0,2,0,2659,3,0,6,0
31,0,14199,0,3,0,1,4785,4,0,5,0
33,1,41493,1,3,0,0,13142,0,0,6,1
28,0,44178,0,0,0,1,16278,4,0,6,1
32,0,41456,2,0,2,1,12272,1,0,4,1
32,0,20873,0,2,0,0,5900,2,0,5,0
29,1,41943,0,1,2,0,13751,2,0,5,1
30,0,33403,2,3,0,1,14141,1,1,4,1
30,0,39944,2,3,0,0,15514,3,0,4,1
40,0,12925,1,1,0,2,3995,3,0,6,0
27,1,48053,0,3,0,2,12657,3,0,4,1
25,0,7156,1,0,0,0,2110,5,1,4,0
30,1,48189,2,0,1,1,19672,3,1,4,1
31,1,44034,0,3,0,1,12097,2,0,6,1
32,1,17877,0,1,0,0,7104,2,0,5,0
28,0,37512,3,3,0,0,13374,4,0,5,1
25,0,25088,3,2,1,1,9764,2,0,3,0
36,1,48792,0,0,0,0,18203,3,0,6,1
28,0,9552,2,1,1,0,3110,2,1,5,0
26,1,25282,1,1,0,0,6691,3,0,6,0
29,1,28678,0,0,0,0,10566,3,0,4,1
29,0,25024,3,3,2,0,8423,1,0,3,0
35,0,9157,0,0,1,1,3337,4,0,5,0
30,1,34416,1,3,2,0,10313,5,0,6,1
33,1,29355,1,2,0,0,10525,1,0,5,1
28,0,32818,1,0,2,1,10428,2,1,5,1
31,1,26201,1,2,1,1,8916,2,0,4,0
29,0,24322,1,3,0,0,7561,3,0,4,0
30,1,10651,2,0,0,0,2841,3,0,3,0
26,0,11708,1,1,2,1,3073,1,0,5,0
24,0,30470,0,3,2,2,11964,3,1,6,1
39,1,40055,1,2,1,0,17092,1,1,3,1
33,1,16139,1,2,0,0,6493,1,0,4,0
24,1,11170,1,1,1,0,4259,2,0,3,0
27,1,29872,0,1,2,0,11418,3,1,4,1
25,1,37258,1,0,0,0,15823,2,1,4,1
40,1,25670,0,3,1,0,11286,0,0,4,0
36,1,19908,1,0,0,1,8343,3,0,6,0
29,1,12931,2,0,1,1,4654,0,1,4,0
32,0,22524,1,3,1,1,8609,1,0,6,0
28,0,10825,2,1,0,0,3600,2,1,5,0
28,1,44816,2,3,0,0,18073,2,0,5,1
26,0,6076,0,3,1,2,2311,2,0,4,0
27,0,37784,1,3,0,0,16081,1,0,6,1
37,1,34504,1,0,0,0,12032,3,1,7,1
30,0,31899,1,0,0,1,9450,2,0,5,1
31,1,29747,0,3,0,1,12160,3,0,2,1
31,1,47360,0,0,2,0,13738,1,0,6,1
36,1,10204,2,0,0,2,3178,4,0,5,0
28,1,25061,1,3,1,0,8439,4,0,3,0
26,1,38394,1,2,0,1,11142,2,0,3,1
37,1,23829,0,3,1,1,8019,3,0,5,0
28,0,48586,3,1,0,1,16810,3,1,5,1
27,1,22675,2,0,0,1,7789,1,0,5,0
24,1,46062,1,1,2,0,18283,3,0,5,1
24,0,32402,1,3,0,1,11514,2,1,4,1
27,0,40775,0,3,1,1,15517,4,0,5,1
33,1,28231,2,1,1,0,8315,2,0,4,1
35,0,17811,0,2,0,0,5726,3,0,5,0
33,1,46503,0,3,1,0,15433,5,1,4,1
28,0,19546,0,1,0,2,8674,1,1,6,0
30,0,29669,0,2,0,1,8043,1,0,7,1
27,0,30931,2,2,0,1,11448,2,0,7,1
27,0,38353,2,2,0,2,12238,2,1,6,1
34,0,32273,0,2,0,1,12552,1,1,4,1
25,0,36185,1,3,1,2,13074,3,0,5,1
39,1,43215,0,3,2,0,15588,5,0,5,1
30,1,40741,0,0,0,2,10836,4,0,3,1
31,1,49609,1,2,0,1,20051,3,1,5,1
27,1,8349,1,0,1,0,2167,3,0,6,0
27,1,30281,1,0,0,0,10599,1,0,5,1
24,1,10103,0,0,0,0,2749,4,1,3,0
29,0,43970,1,3,1,0,14540,3,0,4,1
32,1,19535,1,3,0,0,6048,3,0,5,0
31,0,27264,3,2,0,0,8536,2,0,5,0
27,0,6765,2,3,0,0,2668,4,0,4,0
26,0,11387,1,1,0,0,3473,3,0,6,0
28,1,21174,0,0,1,0,6930,4,0,5,0
37,0,24253,0,1,0,1,12194,5,0,4,0
25,1,24190,0,3,0,1,9663,3,0,6,0
29,0,18220,1,1,0,0,6657,5,0,6,0
39,1,40676,2,1,0,0,13107,0,1,5,1
30,0,13717,0,3,0,0,5133,3,0,6,0
24,0,18666,2,0,0,1,6429,2,1,6,0
27,0,21257,0,1,0,0,8260,3,1,6,0
32,0,10956,1,0,0,0,4354,3,0,3,0
28,0,26777,3,2,1,0,10562,3,0,3,0
27,1,49369,0,2,0,1,20269,4,0,3,1
28,0,33724,3,2,0,2,12105,1,0,4,1
30,0,39742,2,1,1,2,15486,1,1,4,1
37,1,29977,0,0,0,1,10274,5,1,5,1
30,0,14996,0,3,1,2,4868,2,0,6,0
35,0,8397,2,1,0,0,2623,2,0,6,0
33,1,25532,0,2,1,1,9754,1,0,5,0
29,1,12771,1,1,1,2,5408,2,0,3,0
23,0,40637,1,1,2,0,15480,0,0,6,1
28,1,38961,1,1,1,0,10382,2,0,6,1
28,1,6156,1,3,1,0,1771,1,0,6,0
30,0,45604,1,3,0,1,15190,3,0,5,1
36,0,42666,3,1,0,1,16756,4,1,5,1
40,1,47180,2,3,0,1,19849,4,0,7,1
37,0,39336,2,0,0,1,12318,3,0,5,1
29,1,33422,1,2,1,0,11767,4,0,5,1
22,0,36568,0,3,0,2,12768,3,0,4,1
28,1,37258,0,1,0,0,10312,4,0,5,1
30,1,46086,1,3,0,1,16062,3,0,2,1
34,0,16479,0,1,1,0,5591,3,1,5,0
34,1,8834,1,1,0,1,3274,3,0,5,0
33,0,42906,1,2,2,2,12738,5,0,5,1
24,0,38719,3,3,1,0,13016,6,0,5,1
34,0,32828,1,3,1,1,12406,5,1,5,1
28,1,16060,0,1,2,1,6997,3,1,5,0
31,1,11390,2,1,0,2,3556,2,0,5,0
30,0,27954,1,0,1,0,6872,4,0,5,0
32,1,15613,1,1,1,0,6081,4,0,5,0
30,1,7208,0,1,0,1,2700,3,0,7,0
23,1,43082,0,2,1,0,16697,3,0,6,1
33,1,26733,2,1,2,0,9219,4,1,5,0
32,0,45673,1,1,0,1,12287,2,1,5,1
29,0,22722,2,1,1,1,6500,0,1,5,0
31,0,36436,2,1,0,0,13047,1,1,7,1
31,0,38301,3,3,0,0,14734,3,0,5,1
31,0,29424,2,2,0,1,9737,4,0,6,1
37,0,47514,0,0,0,0,13508,2,0,6,1
29,1,26094,1,2,1,1,10512,2,0,6,0
31,1,21403,3,0,0,1,8147,3,1,6,0
35,1,13889,1,0,0,0,3315,1,0,3,0
35,0,31351,3,0,0,2,10382,3,0,6,1
35,1,48246,1,1,1,0,15809,6,0,6,1
27,1,14403,1,0,1,1,4884,4,0,7,0
39,0,30049,1,3,1,0,12715,1,0,5,1
30,1,15992,1,2,1,2,5670,5,0,6,0
38,0,37902,1,0,1,0,12100,3,0,5,1
24,1,24085,2,2,0,0,9676,2,1,4,0
30,1,42608,3,3,0,0,12683,4,1,5,1
36,1,29018,2,0,1,0,8926,5,1,5,1
27,1,7479,1,2,0,1,2057,3,0,6,0
27,1,19355,3,3,1,2,7050,2,0,5,0
26,0,9202,1,3,1,0,3117,3,1,5,0
25,0,25097,2,0,0,0,8868,3,0,4,0
28,0,14495,3,1,2,0,5126,3,0,5,0
31,1,6823,0,0,2,0,2301,3,0,7,0
21,0,18994,1,0,0,1,6887,4,1,6,0
31,1,21562,1,0,0,1,8190,3,1,4,0
36,0,41540,1,0,0,0,13352,1,0,6,1
39,0,38428,0,0,2,2,10912,1,1,6,1
36,0,24307,0,0,1,0,9610,3,0,6,0
33,0,23687,0,1,1,2,9973,3,0,6,0
22,1,35555,1,3,0,0,9539,1,0,4,1
27,1,6914,1,2,1,0,2054,3,0,6,0
28,0,45122,1,1,1,0,15244,2,0,6,1
33,0,45809,0,1,0,0,14109,0,1,6,1
30,1,48613,0,3,1,0,16170,0,0,5,1
24,0,35447,1,2,0,2,11624,1,0,6,1
38,1,17904,1,0,0,1,5706,1,0,5,0
34,0,7568,3,3,0,0,2926,3,1,6,0
31,0,31778,0,0,0,1,12680,1,1,4,1
35,1,33869,1,2,0,1,11264,1,0,5,1
24,1,18743,1,0,0,0,5937,4,0,4,0
33,1,8375,1,3,0,0,2976,3,0,5,0
28,0,37689,2,1,1,1,15993,5,0,6,1
33,1,48920,2,0,1,1,18177,2,0,5,1
30,0,39950,0,3,0,0,13642,2,0,7,1
33,1,29959,0,3,0,1,10801,1,0,6,1
36,1,45091,0,1,0,1,16138,2,1,4,1
30,1,13294,2,3,2,1,4709,2,1,5,0
35,0,22058,1,2,0,1,7294,3,0,4,0
25,1,43068,1,2,2,0,14033,2,0,2,1
27,1,41925,2,3,0,0,13664,5,0,5,1
37,0,30434,2,2,0,0,10953,1,1,4,1
32,1,18769,0,2,1,0,8024,3,0,5,0
21,0,23464,0,2,1,0,7759,0,0,4,0
24,0,11074,0,2,1,1,2316,0,0,5,0
29,0,40798,0,3,1,0,15592,0,1,5,1
34,1,42056,1,0,2,0,14809,4,0,4,1
30,0,21814,1,0,0,0,7372,4,1,4,0
33,0,46318,1,3,0,1,16859,4,0,6,1
34,1,30009,2,3,0,0,10114,3,0,4,1
37,1,42990,1,3,2,0,10937,1,1,5,1
30,1,9703,0,1,1,2,3538,4,1,5,0
30,0,43047,3,3,0,1,14408,4,0,5,1
22,0,17407,1,3,1,0,6142,4,0,5,0
30,1,36111,2,3,0,2,14341,2,0,4,1
27,0,40424,1,1,0,0,15517,3,0,4,1
26,0,31521,0,0,0,1,9615,5,0,6,1
29,1,7938,1,3,0,0,2589,3,0,5,0
35,1,40922,0,0,2,2,13098,0,0,7,1
21,0,25727,1,2,0,1,8405,2,0,5,0
28,0,22111,1,3,0,0,7874,1,0,5,0
31,0,10488,1,3,0,0,3372,3,0,4,0
26,0,14492,1,3,0,0,4717,0,0,5,0
31,0,10673,1,0,1,0,3629,6,1,3,0
32,1,9773,1,0,0,0,3955,2,0,5,0
30,0,9643,2,0,1,2,4031,5,0,7,0
19,0,41235,0,0,0,0,12627,2,1,7,1
41,0,16838,1,3,2,2,5845,3,1,4,0
29,0,10105,1,0,0,1,4364,3,0,4,0
33,1,6607,0,3,0,2,2473,3,0,2,0
31,1,28025,0,3,0,2,12682,6,0,6,1
35,1,34048,2,0,0,2,12173,3,0,5,1
34,0,15875,3,3,1,0,5693,4,0,5,0
29,0,46373,1,1,0,1,17856,1,0,4,1
32,1,16339,3,1,0,1,5765,3,1,3,0
26,1,35023,1,3,1,0,10259,1,0,5,1
34,1,39534,3,0,1,0,15578,1,1,5,1
28,0,10439,1,2,0,2,4038,2,1,5,0
41,0,7753,2,3,0,0,1753,2,0,5,0
23,0,15592,1,0,1,0,4665,1,0,4,0
28,1,24408,1,1,0,0,7806,2,1,4,0
34,1,42544,2,0,1,1,11805,3,0,5,1
32,0,34992,3,1,2,1,10615,4,1,4,1
27,0,27084,2,2,0,2,7323,4,1,4,0
26,1,13891,1,1,1,1,5510,1,0,6,0
31,0,19763,3,0,0,0,6478,3,0,4,0
30,1,39032,1,1,1,1,13794,2,1,6,1
22,1,44147,1,1,0,0,17362,3,1,4,1
30,0,26175,1,1,2,2,7418,5,0,5,0
31,0,42723,2,0,1,1,13045,3,0,5,1
31,1,41087,1,0,0,2,13315,1,0,5,1
25,1,45806,0,1,0,1,13282,2,0,6,1
32,0,32593,0,2,0,0,12289,0,1,5,1
36,0,42008,1,0,1,0,13351,4,0,5,1
32,0,20779,2,1,1,1,6412,1,1,6,0
25,1,42990,1,3,2,1,15991,5,1,6,1
28,1,14253,1,2,0,0,4487,0,1,4,0
32,1,33193,0,1,0,0,10499,3,0,5,1
27,1,37881,0,0,0,1,16165,1,0,4,1
20,1,19329,0,1,0,1,6796,1,1,3,0
34,1,15937,1,3,2,1,5345,1,0,4,0
26,1,45551,1,2,1,1,17274,1,0,5,1
27,0,14171,0,2,1,0,5348,4,0,5,0
37,0,6122,1,1,0,0,1729,3,0,5,0
27,1,43270,1,0,0,1,15992,5,0,5,1
34,1,26165,0,0,0,1,7130,3,0,3,0
24,1,38172,0,3,2,1,12982,4,0,5,1
28,1,7815,1,1,0,1,2275,3,0,5,0
30,1,35361,1,2,0,1,12264,0,0,4,1
25,0,39766,2,2,1,1,12387,1,1,5,1
27,1,23136,2,0,1,1,6827,1,0,5,0
30,1,24467,3,3,0,2,8375,3,0,4,0
33,0,18026,3,1,0,2,5131,1,0,4,0
23,0,34568,0,2,0,0,12277,3,1,5,1
28,0,30664,0,3,0,0,10766,2,0,3,1
33,0,10066,1,0,1,1,3505,1,1,6,0
28,1,8887,1,0,0,0,3392,1,0,5,0
31,1,8212,3,1,0,0,3702,2,0,6,0
32,1,48613,0,2,0,0,15510,1,0,5,1
31,1,7150,2,2,2,2,2005,2,1,6,0
33,1,16469,2,0,1,0,6304,2,1,6,0
29,0,18486,1,3,0,1,5011,0,1,5,0
28,1,9181,1,1,1,0,3096,3,0,6,0
18,1,12567,0,2,0,2,4828,3,0,6,0
30,0,35623,1,3,1,1,7502,2,0,6,1
32,1,5807,1,3,2,2,2046,4,1,7,0
32,0,41814,2,0,0,0,13261,4,0,4,1
28,1,40940,1,0,1,1,13390,2,0,6,1
38,0,27281,1,1,0,2,11166,2,0,5,1
31,1,7976,3,3,1,0,2817,1,0,4,0
31,1,40944,1,0,0,2,17549,3,0,5,1
36,1,17648,2,3,0,0,7367,3,0,4,0
27,0,28829,0,1,0,1,11280,3,0,5,1
28,0,11997,2,2,0,1,5201,2,0,5,0
41,1,17059,0,1,0,1,4513,1,0,6,0
30,0,48146,0,2,0,0,20023,2,0,5,1
37,0,22707,1,1,1,0,6800,5,0,5,0
24,0,23412,2,1,1,1,9072,1,1,2,0
29,0,39989,0,3,0,0,14499,3,0,5,1
32,1,7143,1,3,0,0,2367,6,0,5,0
31,1,5185,1,3,1,1,2070,2,0,6,0
26,1,45405,1,2,2,1,17613,5,1,3,1
30,1,35998,0,3,1,2,15750,3,0,5,1
25,0,8342,0,0,2,0,3046,3,0,5,0
33,1,12359,3,2,0,0,4089,3,0,4,0
35,0,24804,1,0,1,0,6530,3,0,3,0
20,1,43965,1,2,1,1,13191,2,1,6,1
36,0,35285,1,1,0,0,7902,1,0,4,1
24,1,5018,1,2,0,2,1605,4,0,4,0
32,0,13089,1,0,0,2,4700,3,0,7,0
33,0,34802,2,3,2,1,15633,3,0,5,1
29,0,32764,1,2,0,1,10891,2,1,4,1
27,1,8527,1,1,0,1,2444,3,1,4,0
31,1,5552,1,1,0,1,1374,5,0,4,0
32,0,37693,2,3,2,0,12181,1,0,6,1
34,1,18791,1,2,0,0,5328,5,0,4,0
21,0,8415,2,2,0,1,3700,2,0,6,0
23,1,44727,1,3,1,2,13344,3,0,6,1
36,0,19522,0,1,1,0,6711,2,0,6,0
35,0,49646,1,3,2,0,13480,3,1,4,1
32,1,28412,3,3,1,0,12027,6,0,6,1
33,1,45999,1,3,1,2,15251,5,0,4,1
34,0,26730,0,0,1,1,8926,1,1,5,0
18,1,9396,1,0,2,0,3613,5,0,4,0
35,1,17224,3,3,0,0,5770,1,0,5,0
28,1,40052,1,3,0,0,14909,4,0,4,1
31,0,35172,3,3,0,0,15494,3,1,7,1
29,1,31064,3,1,0,2,12216,6,0,2,1
34,0,43417,1,1,0,2,14284,1,0,6,1
28,0,23128,3,2,0,0,8737,2,0,6,0
32,1,19011,0,1,1,1,6730,1,0,6,0
28,1,20164,2,1,0,0,6837,3,1,6,0
25,1,28925,2,2,1,1,8516,3,0,5,1
35,0,37465,0,3,0,0,12000,5,0,5,1
33,1,38164,1,0,0,0,13727,4,0,3,1
38,1,27495,2,0,0,1,11675,4,0,6,1
30,0,34636,2,2,0,0,13327,3,0,5,1
35,1,18654,2,1,0,0,6514,6,0,6,0
39,0,49993,0,1,0,2,19197,5,0,7,1
29,1,16203,1,0,0,0,4477,0,0,8,0
24,0,8344,2,1,0,2,3133,2,1,4,0
29,0,43928,3,3,0,0,13736,4,1,5,1
29,1,26969,3,1,1,2,10298,4,0,5,0
31,0,6618,2,1,1,1,2092,5,0,6,0
38,0,17333,2,3,1,1,6088,3,0,5,0
29,0,14792,2,1,0,0,5486,3,0,5,0
32,0,9268,0,0,1,0,3659,3,0,5,0
29,0,32178,0,0,0,1,11464,1,0,6,1
30,0,46104,2,1,0,0,14646,4,0,4,1
31,1,16475,3,3,0,0,5505,2,1,6,0
36,1,38080,0,2,0,2,14439,1,1,4,1
31,0,17039,1,2,1,2,5431,6,0,5,0
33,0,18159,1,1,0,1,4519,3,0,6,0
33,1,25791,0,3,1,0,8579,2,1,5,0
34,0,34277,0,2,0,2,11516,6,1,5,1
27,1,11689,2,0,0,1,3637,1,0,5,0
37,1,39807,2,2,0,2,13585,5,0,4,1
28,0,5111,0,0,0,0,1428,2,1,4,0
30,1,42542,1,3,1,0,10967,4,0,4,1
36,1,19323,1,3,0,2,8726,3,0,6,0
36,0,21655,1,1,0,1,7519,4,0,4,0
25,1,9419,1,2,0,2,3454,5,1,5,0
26,0,16292,1,0,0,1,5955,1,0,6,0
24,1,21305,1,2,1,2,11233,3,0,6,0
31,1,46326,0,2,0,0,17296,4,1,5,1
31,1,6952,0,3,1,1,2495,3,0,5,0
32,0,44292,1,0,0,2,13592,0,0,6,1
32,0,42736,1,0,0,1,16169,2,1,4,1
27,1,39836,2,2,0,1,15234,1,0,5,1
26,1,10962,1,2,1,0,4119,4,0,4,0
35,1,46536,0,3,0,1,11987,3,0,5,1
33,1,6816,2,0,0,0,1922,3,0,5,0
23,0,42927,2,3,0,0,17164,4,0,6,1
30,1,10310,3,3,0,1,3808,2,1,6,0
26,0,35084,1,3,1,0,11540,1,0,6,1
21,1,12974,1,2,0,1,4733,5,1,3,0
31,0,9851,2,3,0,0,3368,2,0,6,0
30,1,21657,1,0,0,0,7421,4,0,5,0
30,1,35320,2,2,0,1,11775,3,0,4,1
31,0,5130,3,0,0,0,1953,3,1,3,0
34,0,8479,1,2,0,1,3011,2,0,4,0
31,0,34379,1,0,1,2,12216,0,0,5,1
27,1,15649,3,3,1,1,3788,3,1,5,0
27,1,20603,0,3,1,0,5206,2,0,5,0
29,1,40848,0,1,1,2,10565,3,0,7,1
31,1,6618,1,2,0,0,3340,6,1,5,0
25,0,33236,0,2,1,2,10740,2,1,6,1
29,1,24623,2,2,0,0,8739,1,0,4,0
34,1,39962,2,2,1,1,14525,4,0,5,1
30,0,44646,1,3,0,1,16610,1,1,3,1
27,0,44033,1,3,0,2,10307,1,0,4,1
29,0,40540,1,3,0,0,11876,1,0,6,1
35,1,25190,1,3,1,0,6802,4,0,7,0
32,0,21555,1,2,1,0,7049,5,1,6,0
36,0,49240,0,3,0,1,17793,4,1,5,1
31,0,44324,1,1,0,0,16860,4,1,3,1
32,0,42445,0,2,1,0,14610,2,0,4,1
28,1,28891,0,3,0,0,10898,3,0,4,1
33,1,7241,1,0,0,0,2328,2,1,4,0
28,1,20208,3,3,1,1,6242,2,0,4,0
24,1,30558,2,0,0,0,10176,3,0,4,1
31,0,37145,2,0,1,1,13925,3,0,4,1
